,jpy,can,cny,interest,inflation
287,89.45,1.069,6.8267,3.67,2.3
288,89.88,1.0667,6.828,3.72,2.28
289,89.82,1.0522,6.8328,3.73,2.26
290,90,1.0529,6.8326,3.69,2.23
292,90.46,1.0427,6.8326,3.66,2.24
293,90.79,1.0455,6.8326,3.74,2.28
294,91.43,1.045,6.833,3.79,2.31
295,91.94,1.0419,6.829,3.78,2.26
296,91.11,1.0428,6.8264,3.8,2.25
297,90.04,1.0517,6.8267,3.69,2.19
298,90.06,1.0551,6.8269,3.7,2.19
299,88.85,1.0675,6.8267,3.64,2.13
300,88.84,1.052,6.8258,3.61,2.13
301,89.28,1.0421,6.8263,3.61,2.15
302,88.95,1.0325,6.8265,3.62,2.16
303,88.43,1.0286,6.8258,3.63,2.17
304,89.02,1.0307,6.8258,3.61,2.17
305,90.32,1.0284,6.826,3.69,2.21
306,90.3,1.0286,6.8261,3.72,2.23
307,89.89,1.0249,6.8263,3.71,2.23
308,90.62,1.0241,6.8259,3.73,2.24
309,90.6,1.0262,6.8266,3.73,2.24
310,90.46,1.0187,6.8254,3.71,2.26
311,90.45,1.0216,6.8259,3.71,2.25
312,90.43,1.0147,6.8257,3.66,2.24
313,90.42,1.011,6.8259,3.65,2.25
314,90.46,1.0139,6.8261,3.68,2.23
315,90.5,1.0153,6.8265,3.7,2.2
316,90.02,1.0193,6.8266,3.67,2.19
317,90.24,1.0176,6.8263,3.69,2.2
318,91.89,1.0268,6.8266,3.84,2.24
319,92.69,1.0188,6.827,3.91,2.26
320,92.56,1.0283,6.8269,3.86,2.24
321,92.65,1.0201,6.8264,3.88,2.22
322,92.89,1.0189,6.8258,3.88,2.22
323,93.4,1.0156,6.8258,3.84,2.24
324,93.83,1.0073,6.8263,3.89,2.28
325,94.51,1.011,6.8255,3.96,2.27
326,94.28,1.0025,6.8256,4.01,2.31
327,93.81,1.0001,6.825,3.98,2.3
328,93.59,1.0028,6.8254,3.89,2.34
329,93.16,1.0019,6.824,3.91,2.33
330,93.28,1.0055,6.8229,3.9,2.34
331,93.21,1.0015,6.8252,3.87,2.35
332,92.78,1.0029,6.8255,3.84,2.34
333,93.01,0.996,6.8258,3.88,2.34
